run_name,log_path,checkpoint_path,arch,n_fibers,seed,train_samples,pretrained,source_n_fibers,transfer_strategy,best_val_loss,nrmse,wmse,ssim_score,median_max_err,peak_loc_err
attention_unet_nf20_from_nf6_full_finetune_n40_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_full_finetune_n40_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_full_finetune_n40_seed42.pth,attention_unet,20,42,40,True,6,full_finetune,0.02710646763443947,0.021802677152430085,0.0007168325828388333,0.913287341594696,0.17447757582059395,35.690582275390625
attention_unet_nf20_from_nf6_full_finetune_n4_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_full_finetune_n4_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_full_finetune_n4_seed42.pth,attention_unet,20,42,4,True,6,full_finetune,0.035830811907847725,0.025973691192710095,0.000995289534330368,0.8863781094551086,0.19814502045927607,30.698657989501953
attention_unet_nf20_from_nf6_full_finetune_n4_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_full_finetune_n4_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_full_finetune_n4_seed43.pth,attention_unet,20,43,4,True,6,full_finetune,0.03796304017305374,0.028677905975738736,0.001380175817757845,0.880379855632782,0.21507790149342,45.44557189941406
attention_unet_nf20_from_nf6_full_finetune_n60_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_full_finetune_n60_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_full_finetune_n60_seed42.pth,attention_unet,20,42,60,True,6,full_finetune,0.02551349438726902,0.021150272719209662,0.0006596801104024053,0.9178674817085266,0.16754127602817093,33.221717834472656
attention_unet_nf20_from_nf6_full_finetune_n80_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_full_finetune_n80_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_full_finetune_n80_seed42.pth,attention_unet,20,42,80,True,6,full_finetune,0.024306331450740497,0.021165633304336937,0.0006849534111097455,0.9190829992294312,0.1589156772045832,32.1705207824707
attention_unet_nf20_from_nf6_last_decoder_n100_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n100_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n100_seed42.pth,attention_unet,20,42,100,True,6,last_decoder,0.03630872691671053,0.02479923519545694,0.0009234469616785645,0.8811009526252747,0.17314036102586397,35.119869232177734
attention_unet_nf20_from_nf6_last_decoder_n20_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n20_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n20_seed42.pth,attention_unet,20,42,20,True,6,last_decoder,0.03868832811713219,0.025466908125775865,0.0009622579673305154,0.8718537092208862,0.17008096120621863,33.26038360595703
attention_unet_nf20_from_nf6_last_decoder_n40_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n40_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n40_seed42.pth,attention_unet,20,42,40,True,6,last_decoder,0.03741155688961347,0.025098211812806432,0.0009406154858879745,0.8768966794013977,0.17129986854785237,36.259117126464844
attention_unet_nf20_from_nf6_last_decoder_n4_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n4_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n4_seed42.pth,attention_unet,20,42,4,True,6,last_decoder,0.04290434345602989,0.027767520704010718,0.001147368922829628,0.8563791513442993,0.2023690530498922,47.10338592529297
attention_unet_nf20_from_nf6_last_decoder_n4_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n4_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n4_seed43.pth,attention_unet,20,43,4,True,6,last_decoder,0.04230333243807157,0.029171887297033725,0.0014674024423584342,0.8626402616500854,0.17353454609748586,60.76267623901367
attention_unet_nf20_from_nf6_last_decoder_n60_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n60_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n60_seed42.pth,attention_unet,20,42,60,True,6,last_decoder,0.036942008882761,0.024953456979774594,0.000928624882362783,0.8787172436714172,0.17212285171279626,36.18165969848633
attention_unet_nf20_from_nf6_last_decoder_n80_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_last_decoder_n80_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_last_decoder_n80_seed42.pth,attention_unet,20,42,80,True,6,last_decoder,0.03630872691671053,0.02479923519545694,0.0009234469616785645,0.8811009526252747,0.17314036102586397,35.119869232177734
attention_unet_nf20_scratch_n100_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n100_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n100_seed42.pth,attention_unet,20,42,100,False,,scratch,0.025262055918574333,0.021259406091144385,0.0006751226028427482,0.9196285009384155,0.16192251740439645,38.780967712402344
attention_unet_nf20_scratch_n20_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n20_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n20_seed42.pth,attention_unet,20,42,20,False,,scratch,0.03601521129409472,0.024559671962703915,0.000904581684153527,0.8871225118637085,0.17969135242878287,29.482685089111328
